Applicant,Project Title,City,State,Organization Zip,Project Description,Absolute Priority,Competitive Preference Priority,Applicant Type,Grant Type,Award Length,Award Requested,Private Match Waiver,Location
"CAST, Inc.",A Comprehensive Universal Design for Learning Approach to Improve Literacy Across the Curriculum for High Need Students,Wakefield,MA,1880,"""CAST and a consortium of districts?Louisville, KY; Columbus, IN; and Baltimore, MD?will apply the Universal Design for Learning (UDL) framework to the domain of reading across the curriculum as part of a comprehensive middle school improvement program that upholds the rigor of high standards and assessments. Grounded in the learning sciences and leveraging multimedia technology, UDL: a) provides flexibility in the ways information is presented, in the ways students respond or demonstrate knowledge and skills, and in the ways students are engaged; and b) reduces barriers in instruction, provides appropriate accommodations, supports and challenges and maintains high achievement expectations for all students including students with disabilities and students who are limited English proficient.While there is much interest in UDL and a growing body of research on specific applications, there is a gap in systemic school-wide and district level implementations. To address this, we will develop and study a Comprehensive UDL Approach applied to the domain of reading across core content areas to improve reading achievement of high-need students including those with disabilities, English language learners, and other struggling students. We have chosen to address reading because there is an undeniable crisis in reading in our nation. Building on common core and state standards for reading we will: 1) develop a Comprehensive UDL Approach to support reading that addresses goals, methods, assessment, materials; 2) provide sustained professional development that strengthens teacher implementation of the intervention and teaching practices; 3) formatively evaluate the comprehensive UDL intervention and refine it based on data; 4) implement the intervention with three districts; and 5) compare three treatment conditions in a quasi-experimental study to determine the effectiveness of the intervention on student outcomes in reading and on teacher practice.""",AP3: High Standards and High-Quality Assessments,,Nonprofit w/ LEA,Development,5 years,4999969,No,"Wakefield, MA
(42.5021, -71.0697)"
CAYL Institute Inc,CAYL Elementary Principal Fellowship: Innovation and Support of Principals Improving Early Learning Outcomes,Cambridge,MA,2141,"""Strong principals who have the vision, frontline knowledge, leadership skills, and the capacity and resources to effectively address the complex needs of  academically at risk students are key to leading and turning around underperforming schools.  The CAYL Institute in partnership with Boston, Somerville and Everett (MA) Public Schools and a consortium of rural LEAs is requesting funding from the Investing in Innovation Grant Program to implement a Development Grant that will refine, expand and formally evaluate the CAYL Principals Fellowship that has provided, since 2006, continuous and comprehensive  professional development activities for elementary principals.  The project will address Absolute Priority 1 and Competitive Preference Priorities 5 and 8. Specifically, the CAYL Institute will partner with school districts in Massachusetts  to operate and evaluate both an urban and a rural Principal Fellowship Program that will include the following components: an annual retreat, seminars, onsite peer review teams, peer mentoring, dissemination and review of best early educational practices. The CAYL Fellowship will be shown to be effective in strengthening the instructional leadership, management, and advocacy skills of principals and building their capacity to partner with parents and use early learning research to align PreK through grade 3 curriculum, assessment and instructional practices.""",AP1: Effective Teachers and Principals,"CP5: Early Learning, CP8: Rural LEAs",Nonprofit w/ consortium of schools,Development,5 years,3034785,No,"Cambridge, MA
(42.3683, -71.0824)"
Center for Applied Linguistics,Closing Persistent Math Achievement Gaps for English Language Learners Using a Technology Enhanced SIOP-Based Instructional Framework,Washington,DC,20016,"""The Center for Applied Linguistics (CAL), in collaboration with Arlington, Virginia Public Schools (APS), is requesting a five-year Investing in Innovation Development Grant to support a professional development program for math teachers that seeks to address the persistent math performance gap between English language learners (ELLs) and their English-proficient peers. The program will address Absolute Priority 1, Innovations that Support Effective Teachers and Principals, by integrating a proven model for improving learning outcomes in ELLs with innovative computer-based teaching/learning tools. The combination of the research-based Sheltered Instruction Observation Protocol (SIOP) Model with the novel Knowledge-based Interactive Learning Tools for Students (KILTS) will enable math teachers to meet the pedagogical needs of their ELLs by supporting development of both their math knowledge and their academic language proficiency within the context of established curricula and standards. The outcome will be reduction of the math performance gap between ELLs and their English-proficient peers.CAL and APS will implement the proposed project with teachers of 5th, 6th, and 7th grade math in two elementary schools and two middle schools where the math performance gap has been persistent. Plans for scale-up include expansion to an additional district during the grant period and expansion to additional APS schools and additional districts after the grant period ends.The proposed project will address Competitive Preference Priority 7, Innovations to Address the Unique Learning Needs of Students with Disabilities and Limited English Proficient Students, and Competitive Preference Priority 6, Innovations That Support College Access and Success, by strengthening mathematics instruction in grades 5-7. Math learning in these grades sets the foundation for understanding algebra, the gatekeeping course that is essential for postsecondary access and success.""",AP1: Effective Teachers and Principals,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ LEA,Development,5 years,4998904,No,"Washington, DC
(38.9403, -77.0886)"
Center for Collaborative Education,Los Angeles Pilot Schools as an Effective Turnaround Strategy,Boston,MA,2111,"""The Center for Collaborative Education (CCE) and its partners ? Los Angeles Unified School District, United Teachers Los Angeles, Associated Administrators of Los Angeles, and WestEd ? propose to establish the initiative, Los Angeles Pilot Schools As An Effective Turnaround Strategy. The overall initiative goal is: To use the Pilot School model in the Los Angeles Unified School District as a turnaround strategy for ensuring that students currently enrolled in underperforming schools are provided with a high quality, college-ready education that leads to strong academic performance across all subgroups. The partnership will expand the number of Los Angeles Pilot Schools that are serving students in turnaround schools to 30, enrolling approximately 15,000-17,000 students, by September 2015, with instructional excellence and high, equitable student achievement as the driving vision and expectation for every school. Leadership and teacher development, capacity building, and instructional coaching will be provided to each Pilot School in their first three years of launch. Support will be provided to each Pilot School on providing high quality curriculum and services to English Language Learners and students with disabilities. A rigorous accountability system will ensure high performance of all Pilot Schools, including performance measures, annual progress checks, school quality reviews, and early intervention and support.""",AP4: Persistently Low-Performing Schools,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ LEA,Development,5 years,5000000,No,"Boston, MA
(42.3513, -71.0647)"
Center for Collaborative Education,Building Effective Teacher Leadership for Turnaround Schools,Boston,MA,2111,"""The Center for Collaborative Education (CCE) and its partners - Boston Public Schools (BPS), NortheasternUniversity (NU), and WestEd - request an Investing in Innovation Fund Development grant totaling$5,000,000 over five years to establish the initiative, Building Effective Teacher Leadership for TurnaroundSchools. The goal of this initiative is: To develop a teacher leader cohort model in which teacher leader teamsare effectively prepared and supported to take on significant instructional leadership roles within identifiedturnaround schools in the Boston Public Schools. This teacher leader cohort model will result in higheracademic expectations, a more rigorous college-preparatory curriculum, and more effective instructionalpractices throughout each school, ultimately leading to higher academic performance across all studentsubgroups. The initiative will develop the Boston Teacher Leader Institute, which will prepare and graduatefour cohorts of Teacher Leaders, totaling 140 graduates, prepared in leading transformational change. BTLIgraduates will be placed in cohorts in BPS underperforming schools as a turnaround strategy, and providedintensive induction support including BTLI Teacher Leader Network for cross-school sharing and problemsolving. Through the course of the grant, approximately 40 schools totaling 16,000-17,000 students willbenefit from BTLI cohorts placed to lead instructional change. Student-level outcomes will be closely trackedto identify successes.""",AP4: Persistently Low-Performing Schools,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ LEA,Development,5 years,5000000,No,"Boston, MA
(42.3513, -71.0647)"
Center for Collaborative Education,Quality School Leader Teams for Turnaround Schools,Boston,MA,2111,"""The Center for Collaborative Education (CCE) and its partners (Massachusetts Department of Elementary and Secondary Education (ESE), Northeastern University (NU), Brockton Public Schools, Holyoke Public Schools, Lowell Public Schools, and Worcester Public Schools) seek to establish Quality School Leader Teams for Turnaround Schools (QSL). The overall goal is: To recruit, prepare, place, and support teams of principals and assistant principals in designated underperforming schools in order to significantly increase and sustain student achievement. QSL addresses Absolute Priority 4 - Innovations That Turn Around Persistently Low-Performing Schools.At the core of this initiative is the professional development, training, and credentialing of principals and assistant principals prepared to lead newly identified underperforming schools in Massachusetts in order to accelerate student achievement.  This initiative will comprise two strands: (a) a Turnaround Leaders Institute (TLI), to prepare current successful principals and assistant principals to assume the leadership of underperforming schools; and (b) a Turnaround Leaders Residency (TLR), a 14-month, apprenticeship-based principal credentialing program to prepare leaders to assume assistant principal positions in underperforming schools. All told, 134 leaders will receive intensive training in leading underperforming schools and will be placed in up to 70 underperforming schools in five urban public school districts in Massachusetts, which collectively serve about 30,000 students. Upon placement, these leaders will receive two years of support to assist them in their new roles.""",AP4: Persistently Low-Performing Schools,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ LEA,Development,5 years,5000000,No,"Boston, MA
(42.3513, -71.0647)"
Center for Creative Education Inc.,Project LEAP (Learning Enhanced through Arts Partnerships),West Palm Beach,FL,33405,"""We arerequesting Investing in Innovation funding (under the validation category) to validate the efficacy of Project LEAP (Learning Enhanced through Arts Partnerships), our highly successful arts in education model program that has demonstrably improved student academic by integrating the arts into the teaching of core curriculum subjects. Project LEAP is the program offered by the Center for Creative Education that provides artist -classroom teacher collaborations that improve student learning and teaching practices by integrating arts and academics into the classroom setting. The aim of Project LEAP is to raise academic achievement by involving students and teachers in learning activities that encourage students to solve academic problems with hands-on arts experiences. Project activities include implementing CCE's highly successful Project LEAP partnership at Wynnebrook Elementary, targeting three grades, having students participate in LEAP classrooms for the three-year project period for the purpose of building upon and further validating (more robust data) a previously studied Project LEAP implementation at the school. Our project goal is to empirically validate the positive impact Project LEAP has on student academic achievement for the purpose of facilitating its broader adoption by school districts across the State of Florida and throughout the United States. The outcomes of this project will include: 1) targeted students will demonstrably improve their academic performance as measured by the Florida Comprehensive Assessment Test (FCAT); 2) participants in our Summer Institute will demonstrate the acquisition of skills and knowledge relating to effective strategies for integrating arts into standard classroom curriculum to improve student academic performance; and 3) increase participants' interest in and enjoyment of the arts. Over the four-year project period, Project LEAP will target approximately 2,200 students over the three-year project period. .""",AP3: High Standards and High-Quality Assessments,CP7: Unique Learning Needs,Nonprofit w/ LEA,Validation,3 years,830001,No,"West Palm Beach, FL
(26.6715, -80.0597)"
Center for Educational Innovation-Public Education Association,PICCS i3,New York,NY,10036,"""The Center for Educational Innovation - Public Education Association (CEI-PEA) is proposing the Partnership for Innovation and Collaboration for Charter schools (PICCS I3), a project that will support a consortium of charter schools in using data effectively, differentiating instruction and establishing effective 'data cultures' throughout their schools. The purpose of PICCS I3 is to help each school create a data-rich learning environment where teachers and school leaders integrate data analysis into all decision-making processes, from classroom-based instructional decisions to grade-level curriculum decisions to school-wide budgeting of resources. The proposed project meets the Required Priority by improving curriculum, instruction and teaching practice and thereby improving student achievement in consortium schools, and it also meets Absolute Priority 2-Innovations that Improve the Use of Data.  Recent research shows that schools and districts must build three pillars to support the creation, growth and development of such data-rich learning environments:1.	Data Systems - Teachers and school leaders need access to comprehensive data systems that integrate student demographic, achievement and assessment data.2.	Support for Data Use - Teachers and school leaders need training and support in both the technical use of data systems and the processes of using data to guide decision-making.3.	Model Data Practices - Teachers and school leaders need access to effective practices that model the use of data to guide decision-making.Together, these three pillars build a strong foundation for the growth of data cultures capable of transforming educational practices to meet the needs of all learners.  'PICCS I3,' will help the consortium charter schools put these three pillars in place so that by the close of the   4-year grant period, all of the schools will have high-functioning data cultures capable of guiding continual school improvement.""",AP2: Use of Data,CP7: Unique Learning Needs,Nonprofit w/ consortium of schools,Development,4 years,4999997,No,"New York, NY
(40.759, -73.9899)"
Center for Educational Innovation-Public Education Association,Data Inquiry to Improve Student Outcomes project (DIISO)?????,New York,NY,10036,"""The Center for Educational Innovation - Public Education Association (CEI-PEA) is proposing the Data Inquiry to Improve Student Outcomes project (DIISO), a project that will support a consortium of public schools in using data effectively, differentiating instruction and establishing effective 'data cultures' throughout their schools. The purpose of DIISO is to help each school create a data-rich learning environment where teachers and school leaders integrate data analysis into all decision-making processes, from classroom-based instructional decisions to grade-level curriculum decisions to school-wide budgeting of resources.The proposed project meets the Required Priority by improving curriculum, instruction and teaching practice and thereby improving student achievement in consortium schools. It meets Absolute Priority 2 - Innovations that Improve the Use of DataRecent research shows that schools and districts must build three pillars to support the creation, growth and development of such data-rich learning environments:1.	Data Systems - Teachers and school leaders need access to comprehensive data systems that integrate student demographic, achievement and assessment data.2.	Support for Data Use - Teachers and school leaders need training and support in both the technical use of data systems and the processes of using data to guide decision-making.3.	Model Data Practices - Teachers and school leaders need access to effective practices that model the use of data to guide decision-making.Together, these three pillars build a strong foundation for the growth of data cultures capable of transforming educational practices to meet the needs of all learners.  DIISO will help the consortium public schools put these three pillars in place so that by the close of the 4-year grant period, all of the schools will have high-functioning data cultures capable of guiding continual school improvement.""",AP2: Use of Data,,Nonprofit w/ consortium of schools,Validation,4 years,23031546,No,"New York, NY
(40.759, -73.9899)"
Center for Educational Pathways,Innovation Zones,Forest Hills,NY,11375,"""Through classroom-based comic book publishing companies and youth-driven music record labels, the Innovation Zones, proposed by the Center for Educational Pathways, applicant for the project, train classroom teachers to leverage creativity, inquiry, and entrepreneurship for student learning; create standards-based curricula around student-driven, multidisciplinary projects; use new technologies and digital media in the classroom to create original comic books or compose original music; foster inquiry into topics from the core subjects; and teach students to manage production, distribution, and sales of their original products. We establish a hub in each partner LEA, to provide professional development in five regions: the Northeast (Yonkers Public Schools, Yonkers, NY), the South (Corinth School District, Corinth, MS), the Midwest (Metropolitan School District of Decatur Township, Indianapolis, IN), the Southwest (Imperial County Office of Education, El Centro, CA), and the Northwest (Puyallup School District, Puyallup, WA). Each year, we recruit teachers of high-need students from ever wider rings around each hub. Professional development includes 5 summer workshop days, 3 Saturday workshops, and in-classroom coaching and modeling as teachers develop Innovation Zones curricula and implement it in the classroom.Project goals include: 1) Student learning outcomes will improve in the core academic subjects; 2) In districts where it is a focus, English learners will advance their English language development in reading, writing, listening, and speaking; 3) School districts will gain standards-based curricula and teachers trained in innovation; 4) Students will gain entrepreneurial skills and internship opportunities in 21st century career paths; 5) Students will show improved interest in school.""",AP3: High Standards and High-Quality Assessments,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs, CP8: Rural LEAs",Nonprofit w/ LEA,Validation,5 years,24131190,No,"Forest Hills, NY
(40.7212, -73.8502)"
Center for Inspired Teaching,Teacher Residency and School Renewal,Washington,DC,20009,"""While many factors affect student achievement, numerous studies have identified teacher quality as the most vital component in ensuring student success. The Teacher Residency and School Renewal project will address Absolute Priority 1 creating comprehensive partnerships between Inspired Teaching and four Washington, DC charter schools, with the goals of increasing teacher quality, raising student achievement, and improving the way teachers are trained. The project will improve school culture by supporting teachers and principals through whole-school, site-embedded professional development; prepare and certify new DC teachers through yearlong training in target schools; and further evaluate Inspired Teaching?s proven, innovative approach to improving teacher quality to prepare for scaling.Inspired Teaching?s unique approach trains and mentors preservice teachers (Teacher-Residents) within the construct of a comprehensive, sustained professional development partnership with the entire host school (teachers, administration, and classified staff). Research shows that professional development is most effective when implemented as a whole-school approach over multiple years. Inspired Teaching will establish multiyear partnerships with target schools with the goal of transforming their schools into professional learning communities. Teacher-Residents benefit from yearlong residencies in these schools, and complete a year of master?s-level coursework through Inspired Teaching?s Teacher Certification program.While improving the quality of staff instruction, student achievement, and school culture, the program will also supply a pool of new, highly qualified teachers who will disseminate Inspired Teaching?s highly effective instructional approach throughout DC where the need is great. Extensive evaluation will enable Inspired Teaching to disseminate findings, encourage additional partnerships, and further scale-up the program within DC and in other districts.""",AP1: Effective Teachers and Principals,,Nonprofit w/ LEA,Development,5 years,4163622,No,"Washington, DC
(38.9178, -77.0353)"
Center for Policy Studies,TPP21,St. Paul,MN,55102,"""The nation today seems bent on improving education outcomes by getting tougher on teachers, looking for stronger, better trained principals to enforce accountability.  Teachers, and their unions, will naturally resist this agenda.  Instead, the nation should open doors to making teaching a better job and career.  Teachers now get directed as to what and how and when to do things. Unlike other professionals in consulting or accounting or law, they do not control their work. A nascent movement demonstrates that they could. Since the mid-1990s, teachers have been forming practice groups, accepting full accountability in exchange for real authority. Education Evolving, along with its partner, EdVisions, is at the center of a growing demand for this model - from Massachusetts to West Virginia to Michigan to Colorado to California.  We assert in this proposal that when teachers are given significant control over their work, they operate at a higher level of motivation, the effects from which tend to enhance effectiveness, with a concomitant positive effect first on school climate and subsequently on student performance.  We suggest that an organized portfolio of consultative assistance to teachers ready to form partnerships to serve high need students will accelerate this movement and produce significant gains in teacher quality and student achievement. We will provide vital assistance to 50 groups of teachers who are willing to take full responsibility for operating schools,  create the support infrastructure that facilitates informed decisions about everything from governance to financial management to learning models, and conduct a parallel program of research, testing whether the value added by establishing Teacher Professional Practices results in an increase in teacher effectiveness to a degree that not only enhances the school culture but results in better student outcomes.""",AP1: Effective Teachers and Principals,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs, CP8: Rural LEAs",Nonprofit w/ LEA,Development,5 years,5000000,No,"St. Paul, MN
(44.9306, -93.1221)"
Center for Science Teaching and Learning,"The Utilization of Specially Prepared News Media in the Classroom to Bring Relevancy, and Increase Motivation and Achievement",Rockville Centre,NY,11570,,,,(not provided),Development,,2465362,No,"Rockville Centre, NY
(40.6651, -73.6378)"
Center for Social and Emotional Education,School Climate Improvement Project,New York,NY,10018,"""The School Climate Improvement Project (SCIP) program proposes to work with schools, districts, highereducation and community leaders over a five year period to measure and improve school climate as a social,emotional, civic, academic learning and democratically informed school improvement strategy designed toaddress Innovations that complement the implementation of high standards and high quality assessments(priority #3) ? as well as to support rural LEAs (Priority #8). The Project is organized around a (1) field-testedand data-driven five stage school climate improvement model (Planning; Evaluation; Action Planning,Implementation, and beginning anew); (2) an implementation strategy that is characterized by aneducation/training program for (i) local facilitators, and (ii) school leaders as well as (iii) school climateassessment (the Comprehensive School Climate Inventory) and improvement (School Climate ImplementationRoad Map) tools, (iv) communication system; and, (v) a data system.Summary of project objectives and expected outcomes: The objective of the project is to learn about andvalidate the described school climate improvement model and its implementation strategy as well asdeveloping and refining sets of guidelines and tools that will support other schools/districts using this modeland implementation strategy. There are five expected educational outcomes: (1) Increased academicachievement; (2) increased on time graduation rates (3) Reduced drop out rates; (4) Reduced social andphysical violence and passive bystander behavior; (5) Creating or enhancing a school improvement processthat is more inclusive and democratic so that school-home and school-community partnerships increase.""",AP3: High Standards and High-Quality Assessments,CP8: Rural LEAs,Nonprofit w/ LEA,Development,5 years,4992635,Yes,"New York, NY
(40.7553, -73.992)"
Center for the Future of Arizona,Beat The Odds School Partners Program,Phoenix,AZ,85255,"""The proposed Beat the Odds School Partners Program will provide mentoring and training for principals inschools where at least 50% of the students receive free or reduced-price lunches and at least 50% are minority.The Center for the Future of Arizona is the applicant for this proposal with 29 LEAs as official partners.Absolute priority 2 will be addressed with the goal of increasing the performance of target schools above thelevel expected for their demographic group by implementing six concepts dealing with the use of data that wereidentified in a research study conducted by the Center of the Future of Arizona in 2006 with the activeinvolvement of Jim Collins, author of 'Good to Great.'Partner principals will receive mentoring for 6 hours per month that will include site visits and walk-throughobservations, assistance in analyzing the results of an electronic needs assessment and support in creating anaction plan for the school. Under the supervision of a project coordinator, the mentors, who are current orrecently retired exemplary principals, will analyze the mutual training needs of the group and develop 6 yearlytraining sessions on topics dealing with the use of data. Opportunities for networking and collaborating withcolleagues will be provided, as well. Principals are encouraged to participate in the program for three years.This program is unique because it was created to implement the results of a research study in high poverty,Latino schools . It offers an intensive approach to mentoring that extends over a prolonged period of time,emphasizes the principal's role in creating a data driven culture in the school and assists the principal indeveloping the capacity of teachers to access and utilize data in the classroom. Now serving 60,000students in Arizona, services will be expanded to reach 100,000 students by 2013 with the goal ofreplicating the project outside the state.""",AP2: Use of Data,"CP7: Unique Learning Needs, CP8: Rural LEAs",Nonprofit w/ LEA,Development,3 years,3000000,No,"Phoenix, AZ
(33.6784, -111.807)"
Central Falls School District,Central Falls (RI) Project SUCCESS Initiative,Central Falls,RI,2863,"""The Central Falls, Rhode Island, School District is partnering with the Rhode Island Student Assistance Services to apply for an Investing in Innovation Fund Grant Program Development Grant (CFDA #84.396C) entitled the 'Central Falls Project SUCCESS Initiative.' The project will address Absolute Priority #4: Innovations That Turn Around Persistently Low-Performing Schools.Project SUCCESS is a program that prevents and reduces substance use and abuse among high risk, multi-problem adolescents placed in alternative schools and high-risk students in regular secondary schools. This grant will place three full-time highly-trained Project SUCCESS Counselors in the Central Falls middle and high schools to work with students and families who are struggling with substance use and abuse issues. The project counselors work closely with teachers, administrators and parents to ensure the success of the program.Project SUCCESS has five major components: a) program awareness activities for students, parents and faculty, b) school-wide student and parent engagement activities, c) targeted grade activities including prevention curriculum delivery to grade 8 students and booster sessions for students in grades 9-12, d) targeted at-risk student activities leading to individual and small group counseling or referral to appropriate agencies, and e) a parent education program.""",AP4: Persistently Low-Performing Schools,,LEA,Development,5 years,1455243,No,"Central Falls, RI
(41.8877, -71.3933)"
Central Florida Young Men's Christian Association,The New American Schoolhouse Project II,Orlando,FL,32803,"""Designed as the centerpiece of community education and programming, the New American Schoolhouse co-locates an elementary school, a YMCA Family Center and other service providers, allowing full integration of curricular and co-curricular programs, activities and practices within an informed environment that includes teachers, administration, principal, Y staff, Y director, family, community volunteers and appropriate professionals.  The resulting campus is focused on students while benefitting multiple stakeholders. This facility promotes life long health and learning through maximized use of music, art and skills development labs, a technology robust media center and a cafeteria/performance space.  The YMCA Family Center adds support and co-curricular activities along with a gymnasium, child care, locker rooms, aerobics room, wellness center, food court and meeting rooms. These spaces provide the students with a strong involvement beyond the classroom and support co-curricular programs for wellness and adult education.  The core school physical plant includes 4 kindergarten classrooms, 12 primary classrooms and 10 intermediate classrooms, specific learning disability labs, administration suite, and counselor's suite.""",AP2: Use of Data,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ LEA,Validation,5 years,27500000,No,"Orlando, FL
(28.5583, -81.3576)"
Central Florida Young Men's Christian Association,The New American Schoolhouse Project I,Orlando,FL,32803,"""Designed as the centerpiece of community education and programming, the New American Schoolhouse co-locates an elementary school, a YMCA Family Center and other service providers, allowing full integration of curricular and co-curricular programs, activities and practices within an informed environment that includes teachers, administration, principal, Y staff, Y director, family, community volunteers and appropriate professionals.  The resulting campus is focused on students while benefitting multiple stakeholders. This facility promotes life long health and learning through maximized use of music, art and skills development labs, a technology robust media center and a cafeteria/performance space.  The YMCA Family Center adds support and co-curricular activities along with a gymnasium, child care, locker rooms, aerobics room, wellness center, food court and meeting rooms. These spaces provide the students with a strong involvement beyond the classroom and support co-curricular programs for wellness and adult education.  The core school physical plant includes 4 kindergarten classrooms, 12 primary classrooms and 10 intermediate classrooms, specific learning disability labs, administration suite, and counselor's suite.""",AP2: Use of Data,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ LEA,Validation,5 years,27500000,No,"Orlando, FL
(28.5583, -81.3576)"
Central State University,THE OHIO PROJECT:  Education Innovation to Education Transformation,Wilberforce,OH,45384,"""The Governor's Closing the Achievement Gap Initiative (CTAG) is a centerpiece in Governor Ted Strickland's p-16 educational reform efforts in the state of Ohio. The Initiative is designed to improve the proficiencies, promotion, and graduation rates of inner city, rural youth, and youth of poverty and to impact those students personal and professional viability.  The Initiative has been active in the state since 2007 and has yielded an evidence based model successful in increasing the promotion rate of male students (African American, Latino, and European American) from the 9th grade to the 10th grade over the 2007-2009 school years.  Educator cultural competency professional development training (CCPDT) has been a core component of the CTAG Initiative strategic approach to high needs-high risk student educational capacity recovery.  From 2007-2009, Central State University, the lead applicant, was instrumental in the delivery of CCPDT training for educators and linkage coordinators working with the CTAG identified student population through its Institute for Urban Education.  Central State  in partnership with the Governor's Office for Closing the Achievement Gap requests a  validation grant to implement  the comprehensive, multi-tiered student and educator development model designated as 'THE OHIO PROJECT: Education Innovation To Education Transformation'. THE OHIO PROJECT will implement the Social Construction of Hope model in 18 selected LEA's to increase   academic recovery and mastery, increase higher promotion and graduation rates for high need student populations, and enhance educator capacity in cultural literacy and proficiency.""",AP4: Persistently Low-Performing Schools,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs, CP8: Rural LEAs",Nonprofit w/ consortium of schools,Validation,5 years,34923407,No,"Wilberforce, OH
(39.7091, -83.8834)"
Century Community and Technical College,"Investment in Innovation Partnership: Century Community and Technical College and ISD 622; North St. Paul, Maplewood and Oakdale High Schools.",White Bear Lake,MN,55110,"""Project Description: The project is a partnership including Century Community and Technical College, a two-year state supported college, and the North St. Paul, Maplewood, Oakdale School district, Independent School District 622. The project will work with teachers and students ( 9th to 12th grade) providing services to increase student academic success, increase teacher effectiveness, and introduce innovative assessments into the classroom, preparing students for the successful transition to a post-secondary institution.Number to be served: When the project is fully operational in year three it will serve 800 participants. The project will serve 1,200 total during the five-year grant period.Partners: Century Community and Technical College and Independent School District 622.""",AP3: High Standards and High-Quality Assessments,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",N/A,Development,5 years,4312123,No,"White Bear Lake, MN
(45.0879, -93.0058)"
Cerritos College Foundation,Program Development for Employment-Ready Training,Norwalk,CA,90650,"""This project proposes a replicable, comprehensive college transfer model for high school CTE students that incorporates the collaboration of HS and community college teachers, counselors, and academic support staff.  The program will start at the 9th - 10th grades with college orientations and readiness skill development workshops.  The 11th - 12th grade levels will be offered dual enrollment of up to 3 college courses per year.  These will be general business courses and will be offered at Cerritos College (CC) where HS students will be integrated with the college community.  CC has a successful track record with transfer and completions in their Western Association of Food Chains retail management program, which has provided learning opportunities and pathways to a high-need student population.  The proposed model will be based on this program.   The grant focuses on high need students and a growing population of Hispanic students who may never have considered a college education.  Studies show that an expanded level of support services is needed to help students succeed.  Most studies, however, have focused on students who already have the desire to continue with their education.  Little has been researched regarding strategies to encourage non-transfer CTE students to transfer and complete college programs, especially as it relates to student outcomes.This grant will incorporate strategies helpful to CTE student success: supportive faculty and staff from both the HS and CC working together to develop relevant curriculum and learning opportunities, state-of-the-art teaching strategies, articulated pathways, academic support, high impact learning experiences outside the classroom, vibrant stakeholder input, and robust faculty and staff development.  The first two years of the grant will focus on developing and honing this proposed model at CC and the Downey USD.  In Year 3, the model will expand to other community colleges and HS districts.""",AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,Nonprofit w/ LEA,Development,5 years,3623077,No,"Norwalk, CA
(33.9082, -118.081)"
Cesar Chavez Community School,Empowering Student Success,Albuquerque,NM,87106,Seven charter schools propose a project to address unique needs of a non-random sub-population of students whohave largely been underserved in the traditional system by linking academic and behavioral interventionsfound in NREPP.,AP4: Persistently Low-Performing Schools,CP7: Unique Learning Needs,LEA,Development,5 years,4584139,Yes,"Albuquerque, NM
(35.0791, -106.617)"
"Challenge Program, Inc, The","The Expansion of a Successful Incentive Program into Persistently Low-Performing 
                               and/or Rural High Schools",Johnstown,PA,15906,"""The Challenge Program, Inc. is a unique nonprofit that partners with business to motivate high school students to attend school, graduate on time, improve their grades, and get involved with their communities.  Currently, the program services 124 high schools in Pennsylvania (PA), Delaware (DE), and West Virginia (WV).  By the completion date of this project, we will increase the number of participating high schools to 259, with special priority given to persistently low-performing and/or rural schools in those states.The objectives of this project are to increase attendance rates, graduation rates, standardized test scores, and community service involvement in persistently low-performing and/or rural schools in PA, WV, and DE.  All students in the sophomore, junior, and senior grade levels will be invited to compete for the program's awards.  We expect that by introducing extrinsic motivators into the high school setting, more students will become academically motivated and develop good work habits.All students in the sophomore, junior, and senior classes are eligible to compete for the program's awards.  Each participating high school is matched with a business from their local community.  These businesses fund the student awards and serve as mentors to students.""",AP4: Persistently Low-Performing Schools,CP8: Rural LEAs,Nonprofit w/ LEA,Development,4 years,3403571,No,"Johnstown, PA
(40.3487, -78.9343)"
